solver,benchmark_file,problem_type,num_vars,num_clauses,status,cpu_time,elapsed_time,wall_time,peak_memory,decisions,unit_propagations,pure_eliminations,conflicts,learned_clauses,flips,restarts,verified
walksat,benchmarks/random_sat/random_3sat_150v_639c_07.cnf,random_3sat,150,639,UNKNOWN,9.978471421999984,9.994844549997651,9.994844549997651,98454,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_150v_639c_07.cnf,random_3sat,150,639,SAT,7.508184707000055,7.516068748998805,7.516068748998805,98513,,,,,,4702,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_150v_639c_08.cnf,random_3sat,150,639,TIMEOUT,59.96452401799979,60.00312349899468,60.00312349899468,412387,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_150v_639c_08.cnf,random_3sat,150,639,TIMEOUT,59.97097400199982,60.00194905800163,60.00194905800163,405667,,,,,,,,
cdcl,benchmarks/random_sat/random_3sat_150v_639c_08.cnf,random_3sat,150,639,TIMEOUT,59.981465587,60.00313078399631,60.00313078399631,345015,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_150v_639c_08.cnf,random_3sat,150,639,UNKNOWN,9.086181918999955,9.08965923100186,9.08965923100186,97617,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_150v_639c_08.cnf,random_3sat,150,639,UNKNOWN,14.844116816000223,14.84779079600412,14.84779079600412,97617,,,,,,10000,1,
dpll_baseline,benchmarks/random_sat/random_3sat_150v_639c_09.cnf,random_3sat,150,639,TIMEOUT,59.976077540000006,60.002014925004914,60.002014925004914,408583,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_150v_639c_09.cnf,random_3sat,150,639,SAT,45.261861065000176,45.28282250800112,45.28282250800112,455743,8153,114988,2602,,,,,True
cdcl,benchmarks/random_sat/random_3sat_150v_639c_09.cnf,random_3sat,150,639,TIMEOUT,59.97021601100005,60.002546418996644,60.002546418996644,284427,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_150v_639c_09.cnf,random_3sat,150,639,SAT,5.674859212999763,5.676609746995382,5.676609746995382,98593,,,,,,6084,0,True
probsat,benchmarks/random_sat/random_3sat_150v_639c_09.cnf,random_3sat,150,639,SAT,0.9048752170001535,0.9051441640040139,0.9051441640040139,98593,,,,,,600,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_150v_639c_10.cnf,random_3sat,150,639,TIMEOUT,59.943436627999745,60.00188098499348,60.00188098499348,408595,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_150v_639c_10.cnf,random_3sat,150,639,TIMEOUT,59.94835429700015,60.00284822699905,60.00284822699905,387363,,,,,,,,
cdcl,benchmarks/random_sat/random_3sat_150v_639c_10.cnf,random_3sat,150,639,TIMEOUT,59.97284172499985,60.00324128799548,60.00324128799548,359567,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_150v_639c_10.cnf,random_3sat,150,639,SAT,1.6259853530000328,1.626183537999168,1.626183537999168,98401,,,,,,1703,0,True
